city_raw,city
київ,київ
київ,київ
київ,київ
київ,київ
київ,київ
тернопіль,тернопіль
київ,київ
харків,харків
одеса,одеса
м. полтава,полтава
харів,харків
харків,харків
київ,київ
чернівці,чернівці
київ,київ
миколаїв,миколаїв
харків,харків
місто дубровиця,дубровиця
київ,київ
рівне,рівне
"бровари, київська облачть",бровари 
днепр,днепр
м. дніпро,дніпро
київ,київ
київ,київ
вінниця,вінниця
"українка, київська область",українка 
вишгород,вишгород
ирпень,ирпень
харків,харків
м. новомосковськ,новомосковськ
львів,львів
київ,київ
дніпро,дніпро
харків,харків
київ,київ
харків,харків
"м. кременчук, полтавська область",кременчук 
місто дніпро,дніпро
київ,київ
"тернівка, дніпропетровська область",тернівка 
львів,львів
івано франківськ,івано франківськ
дніпр.обл,дніпробл
вишневе,вишневе
київ,київ
дніпро,дніпро
київ,київ
львів,львів
харків,харків
київ,київ
київ,київ
одеса,одеса
київ,київ
харків,харків
дніпро,дніпро
"м. дрогобич, львівська обл",дрогобич 
"вишгород, київська обл.",вишгород 
львів,львів
житомир,житомир
дніпро,дніпро
буча,буча
"місто кам'янське,  дніпропетровська область",камянське  
миронівка київська область,миронівка 
київ,київ
харків,харків
київ,київ
київ,київ
київ,київ
київ,київ
київ,київ
одеса,одеса
запоріжжя,запоріжжя
київ,київ
м. дніпро,дніпро
м.дніпро,
м.кам'янське,мкамянське
дніпро,дніпро
прилуки,прилуки
київ,київ
черкаси,черкаси
київ,київ
хмельницький,хмельницький
київ,київ
"смт коцюбинське, бучанський район, київська обл",коцюбинське
львів,львів
львів,львів
"козин, київська обл, обухівський р-н",козин
київ,київ
івано-франківськ,іванофранківськ
київ,київ
ірпінь,ірпінь
"южне, одеська область",южне 
бердянськ,бердянськ
вишгород київська обл,вишгород 
хмельницький,хмельницький
київ,київ
запоріжжя,запоріжжя
івано-франківськ,іванофранківськ
черкаси,черкаси
місто чернігів,чернігів
київ,київ
харків,харків
київ,київ
кам’янське,камянське
"м. бровари, київська область",бровари 
київ,київ
пп борщагівка,борщагівка
львів,львів
дніпро,дніпро
кривий ріг,кривий ріг
чернівці,чернівці
місто київ,київ
місто дніпро,дніпро
полтава,полтава
харківська обл,харківська обл
київ,київ
запоріжжя,запоріжжя
дніпро,дніпро
харків,харків
київ,київ
київ,київ
київ,київ
боярка,боярка
львів,львів
київ,київ
київ,київ
запорожье,запоріжжя
житомир,житомир
дніпро,дніпро
дніпро,дніпро
днiпро,днiпро
м. дніпро,дніпро
київ,київ
"бобриця, бучанський район",бобриця
ірпінь,ірпінь
одеса,одеса
"м. васильків, київська область",васильків 
івано-франківську,іванофранківськ
фастів,фастів
"місто бердянск запорізької області, але на момент початку війни я з сімєю гостила у моєї мами в німеччині.",бердянзапорізької області але на момент початку війни я з сімєю гостила у моєї мав німеччині
київ,київ
м.полтава,мполтава
ізюм,ізюм
київ,київ
рівне,рівне
харків,харків
дніпро,дніпро
миколаїв,миколаїв
дніпро,дніпро
хмельницький,хмельницький
киів,киів
ужгород,ужгород
святопетрівське,святопетрівське
житомир,житомир
м. київ,київ
київ,київ
одеса,одеса
одеса,одеса
"с. лука, бучанський р-н, київська область",лука
одеса,одеса
ірпінь,ірпінь
київ,київ
київ,київ
львів,львів
харків,харків
харьков,харьків
львів,львів
самчики,самчики
харків,харків
"балаклія, харківськаобласть",балаклія
львів,львів
дніпро,дніпро
харків,харків
київ,київ
київ,київ
харків,харків
київ,київ
м. дніпро,дніпро
київ,київ
київ,київ
"м.підгородне,дніпропетровська обл.",підгородне
харків,харків
львів,львів
обухів київська обл.,обухів 
вишгород,вишгород
харків,харків
київ,київ
львів,львів
вінниця,вінниця
запоріжжя,запоріжжя
суми,суми
київ,київ
село,село
закарпатська обл. м. ужгород,ужгород
київ,київ
львів,львів
київ,київ
київ,київ
кам'янець-подільський,камянецьподільський
"ніжин, чернігівська область",ніжин 
м.дніпро,
дніпро,дніпро
київ,київ
львів,львів
кропивницький,кропивницький
київ,київ
"київська обл., м.обухів",мобухів
село кислиця,село кислиця
львів,львів
"київська область, тарасівка",тарасівка
павлоград,павлоград
кам‘янське,камянське
львів,львів
пп борщагівка,борщагівка
київ,київ
"одеська область, білгород-дністровський район, с. тузли",тузли
київ,київ
київ1,київ
житомир,житомир
"с. високий, харківський район, харківська область",високий
київ,київ
колонщина,колонщина
губиниха дніпоопетровська обл,губиниха 
харків,харків
дніпро,дніпро
харьков,харьків
вінниця,вінниця
київ,київ
кам'янське,камянське
київ,київ
київ,київ
харків,харків
київська обл. с. віта-поштова,вітапоштова
покровськ,покровськ
овруч,овруч
м. кам'янське (дніпропетровська),камянське 
харків,харків
київ,київ
харків,харків
дніпро,дніпро
львів,львів
"львівська область, яворівський р-н с.кам‘янобрід",камянобрід
чернігів,чернігів
київ,київ
кременчук,кременчук
одеса,одеса
харків,харків
київ,київ
київ,київ
кременчук,кременчук
кременчук,кременчук
харьков,харьків
київ,київ
кременчук,кременчук
бориспіль,бориспіль
кременчук,кременчук
миколаїв,миколаїв
київ,київ
киев,київ
вінниця,вінниця
кременчук,кременчук
кременчуці,кременчук
макарів київська обл,макарів 
кременчук,кременчук
кременчук,кременчук
коеменчук,коеменчук
київ,київ
кременчук,кременчук
київ,київ
одеса,одеса
одеса,одеса
одеса,одеса
новояворівськ,новояворівськ
харьків,харьків
кременчук,кременчук
харків,харків
житомир,житомир
луцьк,луцьк
кременчук,кременчук
"обухів, київська область",обухів 
київ,київ
житомир,житомир
київ,київ
київ,київ
страдч львівська обл,страдч 
буча,буча
київ,київ
харків,харків
"харківський район, смт покотилівка",спокотилівка
м. дніпро,дніпро
київ,київ
харків,харків
київґ,київ
кременчук,кременчук
суми,суми
кременчуг полтавська область,кременчуг 
черкаси,черкаси
кременчук,кременчук
харків,харків
кременчук,кременчук
кременчук,кременчук
ірпінь,ірпінь
київ,київ
смт. павлиш,павлиш
дніпро,дніпро
одеса,одеса
м. кременчук,кременчук
киев,київ
харкіскьска область,харкіскьска обл
київ,київ
кременчук,кременчук
"кременчук, полтавська область",кременчук 
київ,київ
дніпро,дніпро
київ,київ
дніпро,дніпро
м. дніпро,дніпро
київ,київ
м.київ,
київ,київ
львів,львів
харків,харків
харків,харків
харків,харків
харків,харків
харків,харків
харків,харків
львів,львів
харьков,харьків
одеса,одеса
харків,харків
харків,харків
харків,харків
чернігів,чернігів
харків,харків
полтава,полтава
харків,харків
київ,київ
київ,київ
черкаси,черкаси
харків,харків
харків,харків
світловодськ,світловодськ
харків,харків
